#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guardian_of_faith_christian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_chalcedonian_desc;He's one of the heralds of the Chalcedonian religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi chalcedonian, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Chalcedonian religion, and he will defend it at all costs. ;;He's one of the heralds of the Chalcedonian religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_jewish;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_jewish_desc;He's one of the heralds of the Jewish religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi juive (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Jewish religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Jewish religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_sunni;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_sunni_desc;He's one of the heralds of the Sunni religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi sunnite (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Sunni religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Sunni religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_shiite;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_shiite_desc;He's one of the heralds of the Shiite religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi chiite (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Shiite religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Shiite religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ibadi;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ibadi_desc;He's one of the heralds of the Ibadi religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi ibadite (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Ibadi religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Ibadi religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_zaydi;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_zaydi_desc;He's one of the heralds of the Zaydi religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi zaydi, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Zaydi religion, and he will defend it at all costs. ;;He's one of the heralds of the Zaydi religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_druze;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_druze_desc;He's one of the heralds of the Druze religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi druze, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Druze religion, and he will defend it at all costs. ;;He's one of the heralds of the Druze religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_zoroastrian;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_zoroastrian_desc;He's one of the heralds of the Zoroastrian religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi zoroastrian (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Zoroastrian religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Zoroastrian religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_manichean;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_manichean_desc;He's one of the heralds of the Manichean religion (or one of its heresies), and he will defend it at all costs. ;Il est l'un des hérauts de la foi manichean (ou une de ses hérésies), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Manichean religion (or one of its heresies), and he will defend it at all costs. ;;He's one of the heralds of the Manichean religion (or one of its heresies), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_yazidi;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_yazidi_desc;He's one of the heralds of the Yazidi religion, and he will defend it at all costs. ;Il est l'un des hérauts de la foi yazidi, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Yazidi religion, and he will defend it at all costs. ;;He's one of the heralds of the Yazidi religion, and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_norse_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_norse_pagan_desc;He's one of the heralds of the Norse religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi germanique (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Norse religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Norse religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_tengri_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_tengri_pagan_desc;He's one of the heralds of the Tengri religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi tengriste (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Tengri religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Tengri religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_baltic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_baltic_pagan_desc;He's one of the heralds of the Romuva religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi romuvienne (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Romuva religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Baltic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_finnish_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_finnish_pagan_desc;He's one of the heralds of the Suomenusko religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi suomenusko (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Suomenusko religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Finnic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_slavic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_slavic_pagan_desc;He's one of the heralds of the Slavic religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi slave (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Slavic religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Slavic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_west_african_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_west_african_pagan_desc;He's one of the heralds of the West African religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi ouest-africaine (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the West African religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the West African religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_zun_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_zun_pagan_desc;He's one of the heralds of the Zunist religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi zuniste (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Zunist religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Zunist religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_hellenic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_hellenic_pagan_desc;He's one of the heralds of the Hellenic religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi hellénique (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Hellenic religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Hellenic religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_aztec;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_aztec_desc;He's one of the heralds of the Aztec religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi aztec (réformée ou non), et il sera prêt à tout pour la défendre.;He's one of the heralds of the Aztec religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Aztec religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ainu_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ainu_pagan_desc;He's one of the heralds of the Ainu religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi ainu (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Ainu religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Ainu religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_chinese_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_chinese_pagan_desc;He's one of the heralds of the Chinese religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi chinese (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Chinese religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Chinese religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_korean_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_korean_pagan_desc;He's one of the heralds of the Korean religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi korean (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Korean religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Korean religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ryukyuan_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ryukyuan_pagan_desc;He's one of the heralds of the Ryukyuan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi ryukyuan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Ryukyuan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Ryukyuan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_dayak_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_dayak_pagan_desc;He's one of the heralds of the Dayak religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi dayak (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Dayak religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Dayak religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_melanesian_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_melanesian_religion_desc;He's one of the heralds of the Imunu religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi imunu (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Imunu religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Imunu religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_sanamahi_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_sanamahi_pagan_desc;He's one of the heralds of the Sanamahi religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi sanamahi (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Sanamahi religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Sanamahi religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_viet_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_viet_pagan_desc;He's one of the heralds of the Viet religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi viet (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Viet religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Viet religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_inca_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_inca_religion_desc;He's one of the heralds of the Inca religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi inca (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Inca religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Inca religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_mayan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_mayan_desc;He's one of the heralds of the Mayan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi mayan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Mayan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Mayan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_jurchen_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_jurchen_pagan_desc;He's one of the heralds of the Abkadahambi religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi abkadahambi (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Abkadahambi religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Abkadahambi religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_taiwanese_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_taiwanese_religion_desc;He's one of the heralds of the Inibs religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi inibs (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Inibs religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Inibs religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_philippine_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_philippine_religion_desc;He's one of the heralds of the Anito religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi anito (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Anito religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Anito religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_bornean_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_bornean_religion_desc;He's one of the heralds of the Kaharingan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi kaharingan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Kaharingan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Kaharingan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x sulawesi_religion
guardian_of_faith_sulawesi_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_sulawesi_religion_desc;He's one of the heralds of the Aluk religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi aluk (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Aluk religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Aluk religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_flores_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_flores_religion_desc;He's one of the heralds of the Marapu religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi marapu (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Marapu religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Marapu religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_java_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_java_religion_desc;He's one of the heralds of the Kejawen religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi kejawen (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Kejawen religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Kejawen religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_sumatran_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_sumatran_religion_desc;He's one of the heralds of the Malim religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi malim (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Malim religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Malim religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_malagasy_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_malagasy_religion_desc;He's one of the heralds of the Andrianerinerinan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi andrianerinerinan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Andrianerinerinan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Andrianerinerinan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_ainu_pantheism;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_ainu_pantheism_desc;He's one of the heralds of the Katunkamuy religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi katunkamuy (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Katunkamuy religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Katunkamuy religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_south_bantu_mythology;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_south_bantu_mythology_desc;He's one of the heralds of the South Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi South Bantu Mythology (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the South Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the South Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_east_bantu_mythology;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_east_bantu_mythology_desc;He's one of the heralds of the East Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi East Bantu Mythology (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the East Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the East Bantu Mythology religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_omotic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_omotic_pagan_desc;He's one of the heralds of the Omotic Pagan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Omotic Pagan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Omotic Pagan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Omotic Pagan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_cushitic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_cushitic_pagan_desc;He's one of the heralds of the Cushitic Pagan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Cushitic Pagan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Cushitic Pagan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Cushitic Pagan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_nilotic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_nilotic_pagan_desc;He's one of the heralds of the Nilotic Pagan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Nilotic Pagan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Nilotic Pagan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Nilotic Pagan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_khoi_san_mythology;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_khoi_san_mythology_desc;He's one of the heralds of the Khoi-San Mythology religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Khoi-San Mythology (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Khoi-San Mythology religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Khoi-San Mythology religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_inuit_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_inuit_pagan_desc;He's one of the heralds of the Inuit Pagan religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Inuit Pagan (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Inuit Pagan religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Inuit Pagan religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_algic_pagan;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
guardian_of_faith_algic_pagan_desc;He's one of the heralds of the Manitou religion (reformed or not), and he will defend it at all costs. ;Il est l'un des hérauts de la foi Manitou (réformée ou non, et il sera prêt à tout pour la défendre.;He's one of the heralds of the Manitou religion (reformed or not), and he will defend it at all costs. ;;He's one of the heralds of the Manitou religion (reformed or not), and he will defend it at all costs. ;;;;;;;;;x
guardian_of_faith_dreamtime_religion;Guardian of the Faith;Gardien de la Foi;Guardian of the Faith;;Guardian of the Faith;;;;;;;;;x
