ainu_pagan_DESC;The Ainu, just like the Japanese people, were animists and believed that all things are inhabited by spirits known as kamuy. While there are many gods in Ainu belief, one of the most important is known as Kim-un Kamuy, or the god of bears and the mountains.;;;;;;;;;;;;x;
GOD_IWAKTE;Iwakte;;;;;;;;;;;;x;
GOD_KAMUI;Kamui;;;;;;;;;;;;x;
ainu_pagan_reformed;Reformed Ainu;;;;;;;;;;;;x;
ainu_pagan_reformed_DESC;The Ainu, just like the Japanese people, were animists and believed that all things are inhabited by spirits known as kamuy. While there are many gods in Ainu belief, one of the most important is known as Kim-un Kamuy, or the god of bears and the mountains.;;;;;;;;;;;;x;
viet_pagan;Viet;;;;;;;;;;;;x;
viet_pagan_DESC;Vietnamese folk religion.;;;;;;;;;;;;x;
GOD_THIEN;Thien;;;;;;;;;;;;x;
THAN;Than;;;;;;;;;;;;x;
GOD_ONG_TA;Ong Ta;;;;;;;;;;;;x;
GOD_CA_ONG;Ca Ong;;;;;;;;;;;;x;
GOD_Y_A_NA;Y A Na;;;;;;;;;;;;x;
GOD_NHIEN;Nhien;;;;;;;;;;;;x;
AM;Am;;;;;;;;;;;x;
viet_pagan_reformed;Reformed Viet;;;;;;;;;;;;x;
viet_pagan_reformed_DESC;Vietnamese folk religion.;;;;;;;;;;;;x;
sanamahi_pagan;Sanamahi;;;;;;;;;;;;x;
sanamahi_pagan_DESC;Sanamahism also known as Meitei religion, Manipuri religion or Kanglei religion, is an animistic, ancestor-worshipping, shaman-led religious tradition found among the Meitei people in Manipur state of India.;;;;;;;;;;;;x;
GOD_SANAMAHI;Sanamahi;;;;;;;;;;;;x;
GOD_ASHEEBA;Asheeba;;;;;;;;;;;;x;
GOD_APANBA;Apanba;;;;;;;;;;;;x;
GOD_ATIYA_SIDABA;Atiya Sidaba;;;;;;;;;;;;x;
GOD_NONGPOK_NINTHOU;Nongpok Ninthou;;;;;;;;;;;;x;
GOD_PAKHANGBA;Pakhangba;;;;;;;;;;;;x;
sanamahi_pagan_reformed;Reformed Sanamahi;;;;;;;;;;;;x;
sanamahi_pagan_reformed_DESC;Sanamahism also known as Meitei religion, Manipuri religion or Kanglei religion, is an animistic, ancestor-worshipping, shaman-led religious tradition found among the Meitei people in Manipur state of India.;;;;;;;;;;;;x;
THE_PUYA;The Puya;;;;;;;;;;;;x;
dayak_pagan;Dayak;;;;;;;;;;;;x;
dayak_pagan_DESC;A form of native religious practice viewed by the Indonesian government as Hindu, although by Western standards it would be regarded as an animist religion because of its shamanic rituals.;;;;;;;;;;;;x;
dayak_pagan_reformed;Reformed Dayak;;;;;;;;;;;;x;
dayak_pagan_reformed_DESC;A form of native religious practice viewed by the Indonesian government as Hindu, although by Western standards it would be regarded as an animist religion because of its shamanic rituals.;;;;;;;;;;;;x;
inca_religion;Inca;;;;;;;;;;;;x;
inca_religion_DESC;The religion of the ancient Inca.;;;;;;;;;;;;x;
GOD_INTI;Inti;;;;;;;;;;;;x;
GOD_MAMA_COCHA;Mama Cocha;;;;;;;;;;;;x;
GOD_MAMA_PACHA;Mama Pacha;;;;;;;;;;;;x;
GOD_MAMA_KILLA;Mama Killa;;;;;;;;;;;;x;
GOD_ILLAPA;Illapa;;;;;;;;;;;;x;
GOD_VIRACOCHA;Viracocha;;;;;;;;;;;;x;
GOD_SUPAY;Supay;;;;;;;;;;;;x;
inca_religion_reformed;Reformed Inca;;;;;;;;;;;;x;
inca_religion_reformed_DESC;The religion of the ancient Inca.;;;;;;;;;;;;x;
RU;Ru;;;;;;;;;;;;x;
GOD_MENG_XI;Meng Xi;;;;;;;;;;;;x;
GOD_MENG_ZI;Meng Zi;;;;;;;;;;;;x;
STAT_PIETY_XIAO;Xiao;;;;;;;;;;;;x;
STAT_PIETY_MENU_XIAO;Xiao;;;;;;;;;;;;x;
STAT_PIETY_DESC_XIAO;Xiao is respected by the clergy and monastics of your religion. Like Prestige it is added to your score on the death of a ruler.;;;;;;;;;;;;x;
MONTHLY_PIETY_XIAO;Monthly Xiao;;;;;;;;;;;;x;
KAMINCHU;Kaminchu;;;;;;;;;;;;x;
THE_AADIZOOKAAN_SCROLLS;The Aadizookaan Scrolls;;;;;;;;;;;;x;
MIDEW;Midew;;;;;;;;;;;;x;
GOD_MUDJEKEEWIS;Mudjekeewis;;;;;;;;;;;;x;
GOD_GIIZHIGOOKWE;Giizhigookwe;;;;;;;;;;;;x;
GOD_NANABOZHO;Nanabozho;;;;;;;;;;;;x;
MISHIPESHU;Mishipeshu;;;;;;;;;;;;x;
MISHIGINEBIG;Mishiginebig;;;;;;;;;;;;x;
JIIBAYAABOOZ;Jiibayaabooz;;;;;;;;;;;;x;
YAMAYANA;Yamayana;;;;;;;;;;;;x;
GOD_LO;Lo;;;;;;;;;;;;x;
THE_UNIPKAAQS;The Unipkaaqs;;;;;;;;;;;;x;
ANGAKKUQ;Angakkuq;;;;;;;;;;;;x;
GOD_THE_ANIRNIIT;The Anirniit;;;;;;;;;;;;x;
GOD_TEKKEITSERTOK;Tekkeitsertok;;;;;;;;;;;;x;
GOD_SILA;Sila;;;;;;;;;;;;x;
GOD_QAILERTETANG;Qailertetang;;;;;;;;;;;;x;
GOD_PINGA;Pinga;;;;;;;;;;;;x;
GOD_NANOOK;Nanook;;;;;;;;;;;;x;
GOD_IGALUK;Igaluk;;;;;;;;;;;;x;
GOD_AMAGUQ;Amaguq;;;;;;;;;;;;x;
GOD_AKNA;Akna;;;;;;;;;;;;x;
THE_TUURNGAQ;The Tuurngaq;;;;;;;;;;;;x;
AGLOOLIK;Agloolik;;;;;;;;;;;;x;
SEDNA;Sedna;;;;;;;;;;;;x;
ANGUTA;Anguta;;;;;;;;;;;;x;
PAUCHI;Pauchi;;;;;;;;;;;;x;
